Name,Type,Difficulty,Seasons,Family.Friendly,Backpackable,Crowded,Length,Elevation.Gain
Ainsworth Loop Hike,Loop,Easy,All year,Yes,No,No,0.5,85
Aldrich Butte Hike,Out and Back,Moderate,All Season,No,No,No,13.8,2405
Aldrich Butte-Cedar Falls Loop Hike,Lollipop loop,Difficult,Year round,No,No,No,16.4,3105
Angels Rest Hike,Out and Back,Moderate,All Season,Yes,No,Yes,4.8,1475
Angels Rest-Devils Rest Loop Hike,Loop,Moderate,All Season,Yes,No,Yes,10.8,3040
Archer Mountain Loop Hike,Lollipop loop,Moderate,Spring through fall,No,No,No,6.3,1780
Augspurger Mountain Hike,Out-and-back,Difficult,Spring through fall; snowshoe in winter,No,No,No,12.6,4767
Balfour-Klickitat Loop Hike,Loop,Easy,All year,Yes,No,No,0.7,115
Beacon Rock Hike,Out and Back,Moderate,"Year round, except during ice storms",Yes,No,Yes,1.8,680
Bear Lake Hike,In and out,Easy,Summer/Fall,Yes,Yes,No,2.6,480
Bell Creek Loop Hike,Dogbone (Out to a loop and back),Difficult,May-Oct,No,Yes,Sometimes,17,3330
Benson Plateau Loop Hike,Lollipop loop,Difficult,Late May into October,No,Yes,Yes,16.4,4030
Bridal Veil Falls Hike,In and out + universal access loop,Easy,All year,Yes,No,Yes,1.4,205
Buck Creek on Larch Mountain Hike,In and out,Easy,"All year, except during winter snows",Yes,No,No,1.8,310
Buck Point Hike,Out and back,Easy,Year-round,Yes,No,No,1.8,600
Camp Benson Falls Hike,Out and back,Easy,All year,Yes,No,No,4.9,430
Cape Horn Loop Hike,Loop,Moderate,July 16th to January 31st for the loop,No,No,Yes,7.4,1230
Cape Horn Overlooks Hike,In and out,Moderate,All year,Yes,No,Yes,5.2,1185
Cascade Locks West Loop Hike,Loop,Easy,Year round,Yes,No,No,3,100
Casey Creek Loop Hike,Loop,Difficult,Summer into Fall,No,Yes,No,11.3,3995
Catherine Creek Arch Loop Hike,Loop,Easy,"Year round, best Mar-May",Yes,No,Yes,3.4,500
Catherine Creek Canyon Loop Hike,Loop,Moderate,"All year, best March through May",Yes,No,Sometimes,5.8,1390
Catherine Creek Universal Access Hike,Loop,Easy,All year,Yes,No,Yes,1.2,90
Catherine Creek West Loop Hike,Loop,Easy,Year round,Yes,No,Yes,3.4,1040
Catherine Creek-Coyote Wall Loop Hike,Loop,Moderate,"Year round, best March–May",No,No,Yes,11,2640
Catherine Creek-Rowland Basin Loop Hike,Loop,Moderate,All year: best time is spring,Yes,No,Sometimes,4.9,1320
Cedar Mountain Loop Hike,Lollipop loop,Difficult,All year,No,No,No,17.1,3970
Chenoweth Tableland Loop Hike,In and out with mini-loops,Easy,All year,Yes,No,No,3.5,620
Chetwoot Loop Hike,Loop,Moderate,All,No,No,No,4.4,220
Chinidere Mountain Loop Hike,Loop,Moderate,Early Summer through Fall,Yes,Yes,Sometimes,4.4,1140
Columbia Gorge Traverse Hike,Traverse (car shuttle or multiple day hikes),Moderate,All year,Yes,Yes,No,34.7,4725
Cook Hill Loop Hike,Lollipop loop,Moderate,Year round,No,No,No,8.8,2930
Cougar Rock via Elevator Shaft Hike,Loop,Difficult,Apr-Oct,No,Yes,No,6.7,1860
Coyote Wall Hike,Lollipop loop,Moderate,Year round,Yes,No,Yes,7.8,1775
Dalles Mountain Ranch Loop Hike,Loop,Moderate,Year-round,Yes,No,Yes,6.9,1060
Devils Hole/Three Benches Hike,Loop,Moderate,Year round: Spring is best,No,No,No,2.7,800
Devils Rest via Wahkeena Hike,In and out or lollipop loop,Moderate,Year round (periods of snow during winter),No,No,Sometimes,8.4,2350
Dog Mountain Hike,Modified Loop,Moderate,"All year, except during exceptional snowfall",No,No,Yes,6.9,2800
Dog Mountain Loop Hike,Loop,Moderate,"Year round, except during winter storms",No,No,Yes,7.4,2800
Dublin Lake Hike,Out and Back,Difficult,Apr-Nov,No,Yes,No,13.8,3780
Duncan Creek Hike,In and out,Moderate,Spring through fall,Yes,No,No,4.3,1100
Eagle Creek Overlook Hike,In and out,Easy,October 1st to May 30th,Yes,No,No,0.6,175
Eagle Creek to High Bridge Hike,Out and Back,Moderate,All year,Yes,No,Yes,6.4,840
Eagle Creek to Punch Bowl Falls Hike,Out and back,Easy,Year round,Yes,No,Yes,4.2,525
Eagle Creek to Tunnel Falls Hike,Out and back,Moderate,Year round,No,Yes,Yes,12,1640
Eagle-Benson Loop Hike,Loop,Difficult,June-Oct,No,Yes,Yes,15.8,4260
EasyCLIMB Loop Hike,Loop,Easy,All year,Yes,No,No,2.8,170
Elowah Falls Loop Hike,Loop,Easy,Year-round except during winter storms,Yes,No,Yes,2.1,340
Fairy Falls Loop Hike,,Moderate,All year,Yes,No,Yes,3.4,1495
Fort Cascades Loop Hike,Loop,Easy,year-round,Yes,No,No,1.3,15
Fort Rains Hike,Out and back,Easy,Year round,Yes,No,No,1.8,80
Franklin Ridge from Larch Mountain Loop Hike,Loop,Difficult,Summer - mid-fall,No,No,No,11.8,2460
Franklin Ridge Loop Hike,Lollipop loop,Difficult,Mid-spring - fall,No,Yes,Sometimes,11.1,3205
Gillette Lake Hike,Out and back,Easy,Year round,Yes,No,Yes,5.6,650
Green Point Mountain Loop Hike,Loop,Moderate,Summer into Fall,No,Yes,No,8,1275
Hamilton Creek Loop Hike,Loop,Easy,All year,Yes,No,No,2.3,20
Hamilton Mountain Loop Hike,Lollipop loop,Moderate,March to November,No,No,Yes,7.5,2100
Hamilton-Hardy Loop Hike,Lollipop loop,Difficult,Spring through fall,No,No,Sometimes,13,3505
Hardy Ridge Loop Hike,Lollipop loop,Moderate,Spring through fall,No,No,No,8.1,2175
Herman Creek Hike,In and out,Difficult,All year,Yes,Yes,Yes,15.4,2970
Herman Creek Pinnacles Hike,Out and back,Easy,All year,Yes,No,Yes,4.6,1305
Herman Creek Pinnacles via the PCT Hike,Out and Back,Moderate,All year,No,No,Sometimes,7.4,1610
Herman Creek-Wyeth Hike,In and out,Moderate,Year-Round,Yes,No,No,10.8,2175
Hood River Pipeline Hike,In and out,Easy,All year,Yes,No,Yes,3.3,110
Hood River Waterfront Hike,In and out,Easy,All year,Yes,No,Yes,6.4,15
Horsetail Falls Loop Hike,Loop,Easy,"All year, except during winter storms",Yes,No,Yes,2.6,565
Horsethief Butte Hike,Out and back or loop,Easy,Year round,Yes,No,Yes,1.7,250
Indian Creek Hike,In and out,Easy,All year,Yes,No,No,3.2,250
Indian Mountain Loop Hike,Loop with spur,Moderate,Summer into Fall,No,Yes,No,11.5,2640
Indian Point Loop Hike,Lollipop loop,Moderate,All year,No,No,Yes,7.8,2730
Klickitat Canyon Hike,In and out,Easy,All year,Yes,No,No,6.8,100
Klickitat Trail: Klickitat Mineral Springs Hike,In and out,Easy,All year,Yes,No,No,5.2,50
Klickitat Trail: Lyle to Klickitat Hike,In and out or car shuttle,Moderate,All year,Yes,No,No,13,340
Klickitat Trail: Swale Canyon Hike,In and out or car shuttle,Moderate,Fall through spring (closed in summer),Yes,No,No,15,1010
Labyrinth Hike,Out and Back,Easy,All year,Yes,No,Yes,3.6,915
Labyrinth-Coyote Wall Loop Hike,Loop,Moderate,All year,Yes,No,Yes,7.3,1790
Larch Mountain Crater Loop Hike,Loop,Moderate,May - November,Yes,No,No,6.3,1310
Larch Mountain Crater Rim Loop Hike,Loop,Moderate,Summer - mid-fall,No,No,Sometimes,6.2,1440
Larch Mountain Hike,Out and back,Difficult,Apr–Nov,No,Yes,Yes,14.4,4010
Larch Mountain via Oneonta Trail Hike,Out and back,Difficult,May - October,No,Yes,Sometimes,17.2,4400
Latourell Falls Loop Hike,Loop,Easy,Year round except during winter storms,Yes,No,Yes,2.4,625
Leidl Ridge Hike,In and out,Moderate,Spring through fall,No,No,No,9.1,1115
Lewis and Clark Park Hike,Out and Back,Easy,Year-Round,Yes,No,Sometimes,3,100
Little Beacon Rock Loop Hike,oop,Easy,Year round,Yes,No,Yes,1.6,375
Lower Starvation Loop Hike,Loop,Moderate,Year Round,No,No,No,3.1,795
Lyle Cherry Orchard Hike,Two connected loops,Moderate,"All year, best in spring and fall",Yes,No,Yes,6.5,1340
Maryhill Loops Hike,In and out,Moderate,Year round,Yes,No,No,5.9,820
McCall Point Hike,Out and back,Moderate,March 1st to October 31st (closed in the wet season to prevent erosion),Yes,No,Yes,3.4,1070
McCord Creek to Tanner Creek Loop Hike,Loop,Moderate,Year-round except during winter storms,Yes,No,Sometimes,7.1,820
Memaloose Hills Hike,In and out,Easy,All year,Yes,No,No,3.2,550
Mist Falls Hike,Out and back,Moderate,All year,No,No,No,0.5,335
Mitchell Point Hike,Out and Back,Moderate,All year,No,No,Yes,2.6,1270
Mosier Plateau Hike,In and out,Easy,All year,Yes,No,Yes,3.5,760
Mosier Twin Tunnels Hike,In and out or shuttle,Moderate,Year round,Yes,No,Yes,8.5,1000
Mount Defiance from Columbia River Hike,ut and Back,Difficult,Mid-May through October,No,No,Yes,11.6,4840
Mount Defiance from Wahtum Lake Road Hike,Out and back,Easy,May-Nov,Yes,No,No,3.2,1145
Mount Defiance-Starvation Ridge Loop Hike,Loop,Difficult,Mid-May through October,No,Yes,Yes,12.8,4970
Mud Lake Hike,Out and Back,Moderate,Summer into Fall,Yes,Yes,No,7.4,1400
Multnomah Falls Hike,,Moderate,Year-round,Yes,No,Yes,2.4,870
Multnomah Falls-Devils Rest Loop Hike,Loop,Difficult,"All year, except when there is low-level snow",No,No,Sometimes,8.2,2595
Multnomah-Wahkeena Loop Hike,Trail Log,Moderate,Year round (occasional snow/ice in winter),Yes,No,Yes,4.9,1600
Munra Point from Wahclella Hike,Out and Back,Difficult,"year-round, but hazardous when wet",No,No,No,6,2270
Munra Point from Yeon Trailhead Hike,Out and Back,Difficult,"year-round, but hazardous when wet",No,No,No,6,2270
Nellie Corser Loop Hike,Loop,Easy,Spring through fall,Yes,No,No,0.8,275
Nesmith Point Hike,Out and Back,Difficult ,Apr-Oct,No,Yes,No,10.6,3800
Nesmith-Oneonta Traverse Hike,Point to point (Car Shuttle),Difficult,Apr-Oct,No,Yes,No,14.1,3800
Nesmith-Tanner Traverse Hike,Point to point (Car Shuttle),Difficult,Apr-Oct,No,Yes,No,16.7,4350
Nick Eaton Falls Hike,In and out,Easy,All year,Yes,No,Yes,4.2,970
Nick Eaton Ridge Loop Hike,Loop,Difficult,Late spring into fall,No,Yes,No,13.6,4820
North Lake Hike,In and out,Difficult,Summer into Fall,No,Yes,No,12.8,4220
Oneonta-Multnomah Loop Hike,Loop,Difficult,Mid-spring - fall,No,Yes,Sometimes,12.3,3050
Pepper Mountain Hike,Out and Back,Easy,Spring to late fall,Yes,No,No,2.6,700
Ponytail Falls Hike,Out and Back,Easy,Year-round except during winter storms,Yes,No,Yes,0.8,320
Pool of the Winds Hike,Out and Back,Easy,Year round,Yes,No,Yes,2.2,700
Punchbowl Falls Park Hike,In and out/loop,Easy,All year,Yes,No,Yes,2.1,210
Rainy Lake Loop Hike,Loop,Easy,Summer through fall,Yes,No,No,3.2,755
Rainy Lake via Gorton Creek Trail Hike,Out and Back,Difficult,Summer into fall,No,Yes,No,22,5430
River to Rock Loop Hike,Reverse lollipop,Easy,All year,Yes,No,No,3.1,270
Rock of Ages Loop Hike,Loop,Difficult,Apr-Oct,No,Yes,Sometimes,10,3000
Rooster Rock Loop Hike,Loop,Easy,Year round,Yes,No,No,2.7,240
Rooster Rock Wagon Road Hike,In and out,Easy,All year,Yes,No,No,4.8,910
Rowena Plateau Hike,Lollipop loop,Easy,Year round,Yes,No,Yes,2.2,240
Ruckel Ridge Loop Hike,Loop,Difficult,May-October,Yes,No,No,9,3700
Rudolph Spur Loop Hike,Loop,Difficult,May-Oct,No,Yes,No,10.4,3700
Sams Walker Loop Hike,Loop,Easy,All year,Yes,No,No,1.1,15
Sandy River Delta Loop Hike,Loop,Easy,Year round,Yes,No,Yes,4.4,40
Sevenmile Hill Loop Hike,Loop,Moderate,"All year, but spring is best",No,No,No,4.8,1260
Shady Glen Loop Hike,Short loop,Easy,All year,Yes,No,No,0.6,55
Shepperds Dell Hike,In and out,Easy,All,Yes,No,No,0.2,45
Sherrard Point Hike,Out and Back,Easy,Apr-Oct,Yes,No,Yes,0.6,170
Skamania Lodge Loop Hike,Two loops,Easy,All year,Yes,No,No,3.3,310
Soda Springs Loop Hike,Loop,Moderate,Spring to beginning of fall,No,No,No,11.3,2060
Sorosis Park Loop Hike,Two connected loops,Easy,All year,Yes,No,No,1.5,160
Spearfish Lake Loop Hike,Loop,Easy,Year round,Yes,No,Sometimes,2.2,45
St. Cloud Loop Hike,Loop,Easy,All year,Yes,No,No,1,25
Stacker Butte Hike,Out and back,Moderate,"Year round, but spring is best",No,No,Yes,5.1,1145
Starvation Creek Waterfalls Hike,Out and back with spurs,Easy,All year,Yes,No,Yes,4.3,145
Starvation Ridge Hike,ut and Back,Difficult,May through October,No,Yes,No,8.8,3855
Strawberry Island Loop Hike,Loop,Easy,All year,Yes,No,No,3.2,150
Table Mountain from Bonneville Hike,Out and back with loop,Difficult,April-October,No,No,Yes,15.5,4320
Table Mountain North Ridge Hike,Lollipop loop,Difficult,April-October,No,Yes,Sometimes,19.5,4350
Tanner Butte Hike,Out-and-back,Difficult,April-November,No,Yes,No,19,4800
Tanner Creek Hike,Out and Back,Moderate,Mar-Nov,No,Yes,No,12.2,1400
Tanner Creek to Eagle Creek Loop Hike,Loop,Moderate,Year-round except during winter storms,Yes,No,No,5,835
Tanner Cutoff Loop Hike,Dogbone (Out to Loop and Back),Difficult,Apr-Nov,No,Yes,No,14.4,3700
Tanner-Eagle Traverse Hike,Traverse (Car Shuttle),Difficult,Apr-Nov,No,Yes,Sometimes,23.6,4500
The Dalles Riverfront Hike,In and out,Easy,All year,Yes,No,No,6.6,100
Tomlike Mountain Hike,Reverse lollipop,Moderate,Summer into Fall,Yes,No,No,6.8,1565
Tooth Rock Loop Hike,Loop,Moderate,All year,No,No,No,1.8,410
Tracy Hill Loop Hike,Loop,Moderate,Year round; spring is best,Yes,No,No,6.1,1715
Triple Falls Hike,Out and back,Moderate,Year round except during winter storms,Yes,No,Yes,3.6,680
Two Chiefs Trail Hike,Out and back,Moderate,Year round,No,No,No,15.2,2575
Upper Hardy Creek Loop Hike,Lollipop loop,Moderate,All year,No,No,No,8.4,1875
Upper McCord Creek Falls Hike,Out and back,Easy,Year-round except during winter storms,Yes,No,Yes,1.9,445
Viento State Park Hike,Out and back with spurs,Moderate,All year,Yes,No,Yes,5.8,490
Wahclella Falls Hike,In and out,Easy,Year round,Yes,No,Yes,2.4,320
Wahkeena Falls Hike,Out and back,Moderate,All year,Yes,No,Yes,1.4,565
Wahtum Lake to Benson Plateau Hike,Lollipop loop,Difficult,June into October,No,Yes,Sometimes,13.2,2780
Wahtum Lake via Herman Creek Hike,Out and back (with potential loops),Difficult,Summer into fall,Yes,Yes,Yes,22.2,5070
Wahtum Lake via Pacific Crest Trail Hike,Out and back,Difficult,June into October,No,Yes,Yes,33.8,6010
Wahtum Lake via Ruckel Creek Hike,Out and back,Difficult,May-October,No,Yes,No,29.8,6270
Warren Lake to Mount Defiance Hike,Lollipop loop,Moderate,Summer into fall,Yes,Yes,No,4.7,1340
Waucoma Lakes Loop Hike,Double loop,Difficult,Summer/Fall,No,Yes,No,16.5,3170
Wauna Point Hike,Out and Back,Moderate,Apr-Nov,No,Yes,No,9.8,3380
Wauna Viewpoint from Eagle Creek Hike,Out and back,Moderate,Year round,Yes,No,No,3.4,1030
Wauna Viewpoint from Tooth Rock Hike,Lollipop loop,Moderate,Year round,No,No,No,5.4,1200
Wauneka Point Hike,In and out,Difficult,Summer into Fall,No,Yes,Sometimes,17.4,5680
Wind Mountain Hike,Out and Back,Moderate,Year round,Yes,No,No,2.9,1185
Wygant Peak Hike,Out and Back,Moderate,all,No,No,No,9.2,2365
Young Creek Bottomland Hike,In and out,Easy,Summer through falll,Yes,No,No,4.3,40
