YEAR,MONTH,DAY,ANIMAL (Specific),ANIMAL (Gen),IS_MAMMAL,TOWN,ROUTE,MILE_MARKER,SEASON,DAY_COUNTER,COLLISION_COUNTER
2004,1,5,Deer - Adult Unknown,Deer,TRUE,DERBY,I 91,175.4,Winter,5,1
2004,1,12,Deer - Adult Unknown,Deer,TRUE,DERBY,I 91,175.4,Winter,12,2
2004,1,21,Deer - Adult Unknown,Deer,TRUE,SPRINGFIELD,US 5,0.48,Winter,21,3
2004,1,22,Deer - Adult Unknown,Deer,TRUE,DERBY,I 91,175.4,Winter,22,4
2004,1,26,Deer - Adult Unknown,Deer,TRUE,SUNDERLAND,US 7,2,Winter,26,5
2004,1,27,Bird - Turkey,Bird,FALSE,BLOOMFIELD,VT 102,1.6,Winter,27,6
2004,1,28,Deer - Adult Unknown,Deer,TRUE,BLOOMFIELD,VT 105,4,Winter,28,7
2004,1,29,Coyote,Coyote,TRUE,WATERBURY,VT 100,6.06,Winter,29,8
2004,1,29,Coyote,Coyote,TRUE,RANDOLPH,I 89,34.05,Winter,29,9
2004,1,30,Deer - Adult Unknown,Deer,TRUE,NEWPORT CITY,VT 191,0.28,Winter,30,10
2004,1,31,Deer - Adult Unknown,Deer,TRUE,SWANTON,I 89,123.9,Winter,31,11
2004,2,1,Fisher,Fisher,TRUE,ROCKINGHAM,US 5,0.36,Winter,32,12
2004,2,2,Coyote,Coyote,TRUE,ROCKINGHAM,VT 103,0.42,Winter,33,13
2004,2,2,Deer - Adult Unknown,Deer,TRUE,HIGHGATE,I 89,124.2,Winter,33,14
2004,2,2,Deer - Adult Unknown,Deer,TRUE,HIGHGATE,I 89,124.2,Winter,33,14.1
2004,2,2,Deer - Adult Doe,Deer,TRUE,WATERBURY,I 89,62,Winter,33,15
2004,2,3,Other,Other,FALSE,WESTMINSTER,I 91,28.5,Winter,34,16
2004,2,5,Deer - Adult Doe,Deer,TRUE,WATERBURY,I 89,62.5,Winter,36,17
2004,2,6,Deer - Fawn Doe,Deer,TRUE,BENNINGTON,US 7,2.1,Winter,37,18
2004,2,10,Bird - Unknown,Bird,FALSE,WHITINGHAM,VT 100,4.3,Winter,41,19
2004,2,12,Deer - Adult Unknown,Deer,TRUE,SHAFTSBURY,VT 7A,6.49,Winter,43,20
2004,2,13,Fisher,Fisher,TRUE,FAIRLEE,I 91,95.75,Winter,44,21
2004,2,17,Coyote,Coyote,TRUE,WINDSOR,I 91,58.1,Winter,48,23
2004,2,17,Bird - Partridge,Bird,TRUE,HARTLAND,I 91,63,Winter,48,24
2004,2,17,Deer - Adult Doe,Deer,TRUE,BOLTON,I 89,72.15,Winter,48,25
2004,2,17,Deer - Adult Doe,Deer,TRUE,CLARENDON,US 7,4,Winter,48,26
2004,2,17,Deer - Adult Unknown,Deer,TRUE,POULTNEY,VT 30,3,Winter,48,27
2004,2,17,Deer - Adult Unknown,Deer,TRUE,POULTNEY,VT 31,0.55,Winter,48,28
2004,2,17,Deer - Adult Unknown,Deer,TRUE,CASTLETON,US 4,4,Winter,48,29
2004,2,17,Deer - Adult Unknown,Deer,TRUE,FAIR HAVEN,US 4,2.5,Winter,48,30
2004,2,17,Fox,Fox,TRUE,MIDDLESEX,I 89,59.25,Winter,48,31
2004,2,18,Deer - Adult Doe with Fawn,Deer,TRUE,ST. JOHNSBUR,US 2,1.2,Winter,49,32
2004,2,18,Deer - Adult Doe with Fawn,Deer,TRUE,ST. JOHNSBUR,US 2,1.2,Winter,49,32.1
2004,2,18,Fox,Fox,TRUE,WINDSOR,I 91,55.5,Winter,49,33
2004,2,18,Coyote,Coyote,TRUE,SUNDERLAND,US 7,2.75,Winter,49,34
2004,2,18,Coyote,Coyote,TRUE,SHARON,I 89,10.95,Winter,49,35
2004,2,18,Fisher,Fisher,TRUE,HARTFORD,I 89,4.85,Winter,49,36
2004,2,19,Deer - Adult Buck,Deer,TRUE,BARTON,I 91,156,Winter,50,37
2004,2,19,Deer - Adult Buck,Deer,TRUE,BARTON,I 91,156,Winter,50,38
2004,2,20,Deer - Adult Unknown,Deer,TRUE,PAWLET,VT 30,6.2,Winter,51,39
2004,2,20,Deer - Fawn Doe,Deer,TRUE,CHESTER,VT 11,0.6,Winter,51,40
2004,2,20,Fox,Fox,TRUE,HARTLAND,I 91,64,Winter,51,41
2004,2,20,Deer - Adult Unknown,Deer,TRUE,BARTON,I 91,155.25,Winter,51,42
2004,2,20,Deer - Adult Unknown,Deer,TRUE,NORTON,VT 114,3.2,Winter,51,43
2004,2,21,Deer - Adult Buck,Deer,TRUE,WINDSOR,I 91,54,Winter,52,44
2004,2,21,Deer - Adult Unknown,Deer,TRUE,NORTON,VT 114,2.8,Winter,52,45
2004,2,22,Deer - Adult Unknown,Deer,TRUE,WILLIAMSTOWN,VT 64,3.06,Winter,53,46
2004,2,26,Deer - Adult Unknown,Deer,TRUE,BRUNSWICK,VT 105,1.5,Winter,57,47
2004,2,28,Deer - Adult Unknown,Deer,TRUE,DERBY,I 91,172,Winter,59,48
2004,2,29,Mink,Mink,TRUE,BROOKFIELD,I 89,40.6,Winter,60,49
2004,3,1,Coyote,Coyote,TRUE,BRATTLEBORO,I 91,10.2,Winter,61,50
2004,3,1,Moose,Moose,TRUE,DERBY,I 91,169,Winter,61,51
2004,3,1,Deer - Adult Unknown,Deer,TRUE,BROWNINGTON,VT 5A,0.04,Winter,61,52
2004,3,2,Deer - Adult Unknown,Deer,TRUE,BARTON,I 91,159,Winter,62,53
2004,3,2,Deer - Adult Doe,Deer,TRUE,LUNENBURG,US 2,3.6,Winter,62,54
2004,3,2,Deer - Adult Unknown,Deer,TRUE,HIGHGATE,I 89,124.1,Winter,62,55
2004,3,3,Bird - Owl,Bird,FALSE,PUTNEY,I 91,21.45,Winter,63,56
2004,3,3,Bird - Owl,Bird,FALSE,PUTNEY,I 91,21.45,Winter,63,56.1
2004,3,3,Deer - Adult Doe,Deer,TRUE,WINDSOR,I 91,57.4,Winter,63,57
2004,3,3,Other,Other,FALSE,WILMINGTON,VT 100,7,Winter,63,58
2004,3,4,Other,Other,FALSE,ROCKINGHAM,I 91,38.2,Winter,64,59
2004,3,4,Fisher,Fisher,TRUE,WINDSOR,I 91,57,Winter,64,60
2004,3,5,Coyote,Coyote,TRUE,STOWE,VT 100,1.75,Winter,65,61
2004,3,5,Skunk,Skunk,TRUE,GUILFORD,I 91,0,Winter,65,62
2004,3,5,Skunk,Skunk,TRUE,GUILFORD,I 91,0,Winter,65,62.1
2004,3,5,Deer - Fawn Buck,Deer,TRUE,ST. JOHNSBUR,I 91,131,Winter,65,63
2004,3,5,Coyote,Coyote,TRUE,GUILFORD,I 91,0.5,Winter,65,64
2004,3,5,Coyote,Coyote,TRUE,GUILFORD,I 91,0.5,Winter,65,64.1
2004,3,5,Deer - Adult Doe,Deer,TRUE,ST. JOHNSBUR,I 91,131,Winter,65,65
2004,3,8,Coyote,Coyote,TRUE,WINDSOR,I 91,55.2,Winter,68,66
2004,3,8,Raccoon,Raccoon,TRUE,WINDSOR,I 91,56.8,Winter,68,67
2004,3,8,Deer - Adult Unknown,Deer,TRUE,GREENSBORO,VT 16,1,Winter,68,68
2004,3,8,Deer - Adult Unknown,Deer,TRUE,WILLISTON,I 89,81,Winter,68,69
2004,3,9,Deer - Fawn Doe,Deer,TRUE,HARTLAND,VT 12,0.9,Winter,69,70
2004,3,9,Skunk,Skunk,TRUE,WINDSOR,US 5,5.1,Winter,69,71
2004,3,9,Skunk,Skunk,TRUE,WINDSOR,US 5,5.1,Winter,69,71.1
2004,3,9,Skunk,Skunk,TRUE,WINDSOR,US 5,5.1,Winter,69,71.2
2004,3,9,Deer - Adult Doe,Deer,TRUE,THETFORD,I 91,84.6,Winter,69,72
2004,3,10,Deer - Adult Unknown,Deer,TRUE,BARTON,I 91,158.2,Winter,70,73
2004,3,10,Coyote,Coyote,TRUE,BERLIN,I 89,48.25,Winter,70,74
2004,3,10,Deer - Adult Unknown,Deer,TRUE,FAIRLEE,I 91,89,Winter,70,75
2004,3,10,Coyote,Coyote,TRUE,BERLIN,I 89,50.2,Winter,70,76
2004,3,11,Deer - Adult Doe,Deer,TRUE,EAST MONTPEL,US 2,0.2,Winter,71,77
2004,3,11,Rabbit,Rabbit,TRUE,BRATTLEBORO,I 91,11.2,Winter,71,78
2004,3,12,Deer - Adult Doe,Deer,TRUE,WATERBURY,I 89,67,Winter,72,79
2004,3,12,Coyote,Coyote,TRUE,WEST RUTLAND,US 4,13,Winter,72,80
2004,3,12,Deer - Adult Doe,Deer,TRUE,WATERBURY,I 89,67,Winter,72,81
2004,3,12,Mink,Mink,TRUE,HALIFAX,VT 112,3.8,Winter,72,82
2004,3,14,Deer - Adult Unknown,Deer,TRUE,READSBORO,VT 100,2.4,Winter,74,83
2004,3,15,Deer - Adult Doe,Deer,TRUE,BERLIN,I 89,48.55,Winter,75,84
2004,3,15,Deer - Adult Doe,Deer,TRUE,MARSHFIELD,VT 232,0.4,Winter,75,85
2004,3,15,Bird - Owl,Bird,FALSE,MIDDLESEX,I 89,57.9,Winter,75,86
2004,3,16,Deer - Adult Buck,Deer,TRUE,FAIRLEE,I 91,94,Winter,76,87
2004,3,16,Fisher,Fisher,TRUE,LUDLOW,VT 103,3.78,Winter,76,88
2004,3,16,Bird - Turkey,Bird,FALSE,MORRISTOWN,VT 15,3.55,Winter,76,89
2004,3,16,Deer - Adult Unknown,Deer,TRUE,STOWE,VT 108,1.8,Winter,76,90
2004,3,17,Deer - Adult Unknown,Deer,TRUE,BLOOMFIELD,VT 105,4,Winter,77,91
2004,3,19,Mink,Mink,TRUE,HARTLAND,I 91,60.8,Spring,79,92
2004,3,19,Deer - Adult Doe,Deer,TRUE,WEST WINDSOR,VT 44,0.9,Spring,79,93
2004,3,19,Coyote,Coyote,TRUE,DORSET,US 7,0.5,Spring,79,94
2004,3,21,Coyote,Coyote,TRUE,CHESTER,VT 103,0.32,Spring,81,95
2004,3,22,Fisher,Fisher,TRUE,WATERBURY,VT 100,4.17,Spring,82,96
2004,3,22,Bird - Owl,Bird,FALSE,MIDDLESEX,I 89,58.8,Spring,82,97
2004,3,23,Fox,Fox,TRUE,BERLIN,I 89,51.4,Spring,83,98
2004,3,24,Other,Other,FALSE,WILMINGTON,VT 100,2.1,Spring,84,99
2004,3,24,Other,Other,FALSE,WILMINGTON,VT 9,3.4,Spring,84,100
2004,3,24,Deer - Adult Doe,Deer,TRUE,CASTLETON,US 4,7.5,Spring,84,101
2004,3,24,Deer - Adult Doe,Deer,TRUE,CASTLETON,US 4,7.5,Spring,84,102
2004,3,25,Deer - Adult Doe,Deer,TRUE,WESTMINSTER,I 91,28,Spring,85,103
2004,3,25,Bird - Turkey,Bird,FALSE,WILMINGTON,VT 9,3.2,Spring,85,104
2004,3,25,Deer - Adult Doe,Deer,TRUE,BARNET,US 5,6.1,Spring,85,105
2004,3,25,Deer - Adult Buck,Deer,TRUE,ST. JOHNSBUR,I 91,130.2,Spring,85,106
2004,3,25,Deer - Adult Doe,Deer,TRUE,BARNET,US 5,7.7,Spring,85,107
2004,3,28,Other,Other,TRUE,SEARSBURG,VT 8,0.5,Spring,88,108
2004,3,29,Bird - Turkey,Bird,FALSE,WILLISTON,I 89,80,Spring,89,109
2004,3,29,Beaver,Beaver,TRUE,RICHMOND,I 89,77,Spring,89,110
2004,3,29,Deer - Adult Doe,Deer,TRUE,NEWBURY,I 91,107,Spring,89,111
2004,3,31,Bird - Hawk,Bird,FALSE,FAIR HAVEN,US 4,2.85,Spring,91,112
2004,3,31,Deer - Adult Doe,Deer,TRUE,BERLIN,I 89,51.7,Spring,91,113
2004,3,31,Deer - Fawn Unknown,Deer,TRUE,BERLIN,I 89,51.7,Spring,91,114
2004,3,31,Deer - Adult Doe,Deer,TRUE,WATERBURY,VT 100,6.59,Spring,91,115
2004,4,1,Bird - Turkey,Bird,FALSE,WINDSOR,I 91,58.35,Spring,92,116
2004,4,1,Fox,Fox,TRUE,WINDSOR,I 91,54.1,Spring,92,117
2004,4,1,Bird - Hawk,Bird,FALSE,WINDSOR,I 91,53.5,Spring,92,118
2004,4,2,Fisher,Fisher,TRUE,WINDSOR,I 91,54.85,Spring,93,119
2004,4,2,Coyote,Coyote,TRUE,WINDSOR,I 91,55.25,Spring,93,120
2004,4,5,Turtle - unknown,Turtle,FALSE,COLCHESTER,I 89,93,Spring,96,121
2004,4,5,Deer - Adult Unknown,Deer,TRUE,SOUTH BURLIN,I 89,89.4,Spring,96,122
2004,4,5,Coyote,Coyote,TRUE,WINDSOR,I 91,56.5,Spring,96,123
2004,4,5,Rabbit,Rabbit,TRUE,WESTMINSTER,I 91,24.45,Spring,96,124
2004,4,6,Porcupine,Porcupine,TRUE,HARTLAND,I 91,63.25,Spring,97,125
2004,4,6,Bird - Turkey,Bird,FALSE,HARTLAND,I 91,63.5,Spring,97,126
2004,4,6,Bobcat,Bobcat,TRUE,CASTLETON,US 4,10.25,Spring,97,127
2004,4,6,Moose,Moose,TRUE,STAMFORD,VT 100,0.2,Spring,97,128
2004,4,7,Skunk,Skunk,TRUE,HARTLAND,I 91,63.75,Spring,98,129
2004,4,12,Deer - Adult Doe,Deer,TRUE,SOUTH HERO,US 2,4.5,Spring,103,130
2004,4,13,Beaver,Beaver,TRUE,HARTLAND,I 91,60.75,Spring,104,131
2004,4,13,Opossum,Opossum,TRUE,HARTLAND,US 5,0.3,Spring,104,132
2004,4,13,Deer - Adult Doe,Deer,TRUE,RANDOLPH,VT 12,1.45,Spring,104,133
2004,4,13,Woodchuck,Woodchuck,TRUE,HARTLAND,I 91,61.05,Spring,104,134
2004,4,13,Deer - Adult Unknown,Deer,TRUE,GRANVILLE,VT 100,0.2,Spring,104,135
2004,4,13,Moose,Moose,TRUE,READSBORO,VT 8,0.5,Spring,104,136
2004,4,14,Deer - Adult Buck,Deer,TRUE,READING,VT 106,3.6,Spring,105,137
2004,4,15,Moose,Moose,TRUE,SEARSBURG,VT 9,2.5,Spring,106,138
2004,4,16,Deer - Adult Unknown,Deer,TRUE,READSBORO,VT 8,0.35,Spring,107,139
2004,4,17,Deer - Adult Buck,Deer,TRUE,WINDSOR,I 91,54,Spring,108,140
2004,4,19,Beaver,Beaver,TRUE,HARTLAND,I 91,60.75,Spring,110,141
2004,4,19,Beaver,Beaver,TRUE,HARTLAND,US 5,0.1,Spring,110,142
2004,4,19,Bird - Turkey,Bird,FALSE,HARTLAND,I 91,61.05,Spring,110,143
2004,4,20,Beaver,Beaver,TRUE,POULTNEY,VT 30,0,Spring,111,144
2004,4,20,Fisher,Fisher,TRUE,POULTNEY,VT 30,9.4,Spring,111,145
2004,4,20,Moose,Moose,TRUE,READSBORO,VT 100,3.2,Spring,111,146
2004,4,20,Bird - Duck,Bird,FALSE,VERNON,I 91,3,Spring,111,147
2004,4,21,Beaver,Beaver,TRUE,ROCKINGHAM,I 91,33,Spring,112,148
2004,4,21,Porcupine,Porcupine,TRUE,WEATHERSFIEL,I 91,51,Spring,112,149
2004,4,21,Deer - Adult Buck,Deer,TRUE,HARTLAND,VT 12,6.8,Spring,112,150
2004,4,21,Bird - Turkey,Bird,FALSE,THETFORD,I 91,88.25,Spring,112,151
2004,4,21,Deer - Adult Buck,Deer,TRUE,WINDSOR,VT 44A,1.2,Spring,112,152
2004,4,21,Deer - Adult Doe,Deer,TRUE,WINDSOR,VT 44A,2,Spring,112,153
2004,4,21,Fisher,Fisher,TRUE,HARTLAND,VT 12,6.5,Spring,112,154
2004,4,21,Skunk,Skunk,TRUE,WINDSOR,VT 44A,0.5,Spring,112,155
2004,4,21,Porcupine,Porcupine,TRUE,WINDSOR,VT 44A,1.1,Spring,112,156
2004,4,21,Bird - Owl,Bird,FALSE,WINDSOR,VT 44A,0.3,Spring,112,157
2004,4,21,Bird - Owl,Bird,FALSE,FAIRLEE,I 91,94.75,Spring,112,158
2004,4,21,Deer - Adult Buck,Deer,TRUE,MIDDLESEX,I 89,56.75,Spring,112,159
2004,4,22,Bird - Turkey,Bird,FALSE,MORRISTOWN,VT 15,3.4,Spring,113,160
2004,4,22,Bird - Turkey,Bird,FALSE,MORRISTOWN,VT 15,3.4,Spring,113,160.1
2004,4,22,Bird - Turkey,Bird,FALSE,MORRISTOWN,VT 15,3.4,Spring,113,160.2
2004,4,22,Mink,Mink,TRUE,WINDSOR,I 91,54.7,Spring,113,161
2004,4,22,Otter,Otter,TRUE,SPRINGFIELD,I 91,41,Spring,113,162
2004,4,22,Fisher,Fisher,TRUE,WEST RUTLAND,US 4,13.1,Spring,113,163
2004,4,22,Deer - Adult Doe,Deer,TRUE,THETFORD,I 91,86.5,Spring,113,164
2004,4,23,Fisher,Fisher,TRUE,MIDDLESEX,I 89,55.85,Spring,114,165
2004,4,23,Beaver,Beaver,TRUE,MIDDLESEX,VT 12,1.81,Spring,114,166
2004,4,23,Fox,Fox,TRUE,MIDDLESEX,I 89,54.1,Spring,114,167
2004,4,23,Beaver,Beaver,TRUE,WATERBURY,I 89,65.8,Spring,114,168
2004,4,23,Beaver,Beaver,TRUE,WOLCOTT,VT 15,0.8,Spring,114,169
2004,4,23,Beaver,Beaver,TRUE,HYDE PARK,VT 15,2.4,Spring,114,170
2004,4,23,Fisher,Fisher,TRUE,WINDSOR,I 91,56.5,Spring,114,171
2004,4,25,Deer - Adult Doe,Deer,TRUE,DERBY,I 91,174,Spring,116,172
2004,4,26,Deer - Adult Doe,Deer,TRUE,NEWBURY,I 91,109,Spring,117,173
2004,4,26,Other,Other,FALSE,BRADFORD,US 5,1.8,Spring,117,174
2004,4,26,Beaver,Beaver,TRUE,BRATTLEBORO,VT 9,3.6,Spring,117,175
2004,4,26,Bird - Duck,Bird,FALSE,NORWICH,US 5,6.66,Spring,117,176
2004,4,26,Beaver,Beaver,TRUE,BERLIN,US 2,0.102,Spring,117,177
2004,4,26,Beaver,Beaver,TRUE,VERNON,I 91,4.75,Spring,117,178
2004,4,27,Beaver,Beaver,TRUE,GUILFORD,I 91,1,Spring,118,179
2004,4,27,Bird - Owl,Bird,FALSE,SPRINGFIELD,I 91,46,Spring,118,180
2004,4,28,Deer - Adult Buck,Deer,TRUE,WINDSOR,I 91,59.3,Spring,119,181
2004,4,28,Other,Other,TRUE,EAST MONTPEL,US 2,0.465,Spring,119,182
2004,4,28,Bird - Turkey,Bird,FALSE,WEATHERSFIEL,I 91,49,Spring,119,183
2004,4,29,Woodchuck,Woodchuck,TRUE,HARTLAND,I 91,62.5,Spring,120,184
2004,4,29,Coyote,Coyote,TRUE,HARTLAND,I 91,62.5,Spring,120,185
2004,4,30,Deer - Adult Unknown,Deer,TRUE,NEWFANE,VT 30,0.9,Spring,121,186
2004,5,3,Deer - Adult Doe,Deer,TRUE,FAIRLEE,VT 244,1.7,Spring,124,187
2004,5,4,Coyote,Coyote,TRUE,ROYALTON,I 89,21,Spring,125,188
2004,5,4,Beaver,Beaver,TRUE,COLCHESTER,I 89,92.9,Spring,125,189
2004,5,4,Moose,Moose,TRUE,NORTON,VT 114,0.5,Spring,125,190
2004,5,5,Moose,Moose,TRUE,FERDINAND,VT 105,4.6,Spring,126,191
2004,5,6,Deer - Adult Unknown,Deer,TRUE,NEWFANE,VT 30,2,Spring,127,192
2004,5,6,Deer - Adult Doe,Deer,TRUE,WATERBURY,I 89,65,Spring,127,193
2004,5,7,Fox,Fox,TRUE,SHAFTSBURY,VT 7A,0.5,Spring,128,194
2004,5,9,Deer - Fawn Buck,Deer,TRUE,ROCKINGHAM,I 91,35.6,Spring,130,195
2004,5,10,Deer - Adult Doe,Deer,TRUE,HARTLAND,US 5,1.05,Spring,131,196
2004,5,10,Bird - Turkey,Bird,FALSE,SHAFTSBURY,US 7,3.5,Spring,131,197
2004,5,11,Deer - Adult Doe,Deer,TRUE,HARTLAND,US 5,2.8,Spring,132,198
2004,5,12,Deer - Adult Doe,Deer,TRUE,HARTLAND,I 91,62.5,Spring,133,199
2004,5,17,Deer - Adult Buck,Deer,TRUE,NORWICH,I 91,77.9,Spring,138,200
2004,5,17,Moose,Moose,TRUE,SHEFFIELD,I 91,149.5,Spring,138,201
2004,5,17,Moose,Moose,TRUE,ELMORE,VT 12,1.9,Spring,138,202
2004,5,17,Deer - Adult Doe,Deer,TRUE,DORSET,US 7,1.2,Spring,138,203
2004,5,17,Fox,Fox,TRUE,WORCESTER,VT 12,4.4,Spring,138,204
2004,5,19,Bear,Bear,TRUE,DOVER,VT 100,0,Spring,140,205
2004,5,19,Deer - Fawn Doe,Deer,TRUE,HIGHGATE,I 89,128.8,Spring,140,206
2004,5,20,Coyote,Coyote,TRUE,CHARLESTON,VT 105,9.4,Spring,141,207
2004,5,20,Beaver,Beaver,TRUE,WATERBURY,I 89,67.75,Spring,141,208
2004,5,20,Coyote,Coyote,TRUE,HIGHGATE,I 89,129.25,Spring,141,209
2004,5,20,Deer - Adult Unknown,Deer,TRUE,HIGHGATE,I 89,128.8,Spring,141,210
2004,5,20,Deer - Adult Unknown,Deer,TRUE,DERBY,I 91,171.75,Spring,141,211
2004,5,20,Deer - Fawn Buck,Deer,TRUE,HIGHGATE,I 89,128.8,Spring,141,212
2004,5,21,Deer - Adult Doe,Deer,TRUE,MIDDLESEX,I 89,57.5,Spring,142,213
2004,5,21,Deer - Adult Doe,Deer,TRUE,WATERBURY,I 89,67.65,Spring,142,214
2004,5,21,Deer - Adult Unknown,Deer,TRUE,READSBORO,VT 8,1.2,Spring,142,215
2004,5,21,Deer - Fawn Doe,Deer,TRUE,WATERBURY,I 89,67.65,Spring,142,216
2004,5,24,Deer - Fawn Buck,Deer,TRUE,BRADFORD,I 91,101.45,Spring,145,217
2004,5,24,Raccoon,Raccoon,TRUE,HALIFAX,VT 112,2.65,Spring,145,218
2004,5,24,Deer - Adult Doe,Deer,TRUE,NORWICH,I 91,75.7,Spring,145,219
2004,5,24,Deer - Fawn Doe,Deer,TRUE,HIGHGATE,I 89,128.8,Spring,145,220
2004,5,25,Deer - Adult Buck,Deer,TRUE,WINDSOR,I 91,56.1,Spring,146,221
2004,5,25,Porcupine,Porcupine,TRUE,BERLIN,I 89,51.85,Spring,146,222
2004,5,25,Porcupine,Porcupine,TRUE,BOLTON,I 89,72.2,Spring,146,223
2004,5,26,Bird - Eagle,Bird,FALSE,DERBY,I 91,169.6,Spring,147,224
2004,5,27,Fisher,Fisher,TRUE,WOLCOTT,VT 15,6,Spring,148,225
2004,6,1,Fox,Fox,TRUE,THETFORD,VT 113,4.2,Spring,153,226
2004,6,2,Fox,Fox,TRUE,HARTLAND,I 91,62.15,Spring,154,227
2004,6,2,Deer - Adult Buck,Deer,TRUE,HIGHGATE,I 89,129,Spring,154,228
2004,6,4,Deer - Adult Buck,Deer,TRUE,DERBY,I 91,173.65,Spring,156,229
2004,6,4,Turtle - painted,Turtle,TRUE,NORTHFIELD,VT 64,0.45,Spring,156,230
2004,6,7,Coyote,Coyote,TRUE,DUMMERSTON,I 91,15.75,Spring,159,231
2004,6,7,Fox,Fox,TRUE,WOLCOTT,VT 15,4.42,Spring,159,232
2004,6,7,Deer - Adult Doe,Deer,TRUE,RANDOLPH,I 89,31,Spring,159,233
2004,6,7,Deer - Fawn Doe,Deer,TRUE,HIGHGATE,I 89,128.75,Spring,159,234
2004,6,8,Deer - Adult Buck,Deer,TRUE,MIDDLESEX,I 89,56.6,Spring,160,235
2004,6,8,Deer - Adult Buck,Deer,TRUE,MIDDLESEX,I 89,56.65,Spring,160,236
2004,6,8,Fox,Fox,TRUE,MORETOWN,VT 100B,1.8,Spring,160,237
2004,6,9,Deer - Adult Buck,Deer,TRUE,WINDSOR,I 91,57.5,Spring,161,238
2004,6,9,Turtle - unknown,Turtle,FALSE,WINDSOR,I 91,55.2,Spring,161,239
2004,6,9,Woodchuck,Woodchuck,TRUE,HARTLAND,I 91,61.35,Spring,161,240
2004,6,10,Opossum,Opossum,TRUE,WINDSOR,US 5,1.7,Spring,162,241
2004,6,12,Bird - Turkey,Bird,FALSE,BROOKFIELD,I 89,37.3,Spring,164,242
2004,6,12,Otter,Otter,TRUE,SHARON,I 89,9.75,Spring,164,243
2004,6,12,Otter,Otter,TRUE,SHARON,I 89,9.75,Spring,164,243.1
2004,6,12,Deer - Adult Doe,Deer,TRUE,WINDSOR,I 91,58.85,Spring,164,244
2004,6,14,Deer - Adult Doe,Deer,TRUE,MIDDLESEX,I 89,60,Spring,166,245
2004,6,14,Deer - Adult Doe,Deer,TRUE,HYDE PARK,VT 15,2.6,Spring,166,246
2004,6,14,Deer - Adult Doe,Deer,TRUE,RYEGATE,I 91,115,Spring,166,247
2004,6,14,Moose,Moose,TRUE,LUNENBURG,US 2,1.6,Spring,166,248
2004,6,14,Deer - Adult Doe,Deer,TRUE,BERLIN,I 89,48,Spring,166,249
2004,6,14,Raccoon,Raccoon,TRUE,WINDSOR,I 91,54.4,Spring,166,250
2004,6,14,Deer - Adult Doe,Deer,TRUE,BARRE TOWN,VT 63,2.5,Spring,166,251
2004,6,15,Deer - Fawn Doe,Deer,TRUE,DERBY,I 91,168.85,Spring,167,252
2004,6,16,Beaver,Beaver,TRUE,WINOOSKI CIT,I 89,90.55,Spring,168,253
2004,6,16,Deer - Adult Unknown,Deer,TRUE,MIDDLESEX,I 89,60.4,Spring,168,254
2004,6,16,Coyote,Coyote,TRUE,WILLIAMSTOWN,I 89,40.85,Spring,168,255
